Wissenschaftlicher Name,Deutscher Name,Bewertung,,,,,,RL BW,Kennarten
Thymus pulegioides,Arznei-Thymian,,,,,,X,*,
Tragopogon orientalis,Orientalischer Wiesenbocksbart,,,,,,X,*,6510
Tragopogon pratensis,Gewöhnlicher Wiesenbocksbart,,,,,,X,*,6510
Tragopogon pratensis agg.,Artengruppe Wiesenbocksbart,,,,,,X,-,
Traunsteinera globosa,Kugelorchis,,,,,,X,1,6520
Trifolium dubium,Kleiner Klee,,,,,X,,*,
Trifolium hybridum,Schweden-Klee,,,X,X,,,*,
Trifolium montanum,Berg-Klee,,,,,,X,3,6210
Trifolium pratense,Rot-Klee,,,,,X,,*,6510
Trifolium repens,Weiß-Klee,,,,,X,,*,
Trisetum flavescens,Gewöhnlicher Goldhafer,,,,,X,,*,6510
Trollius europaeus,Trollblume,,,,,,X,3,6520
Urtica dioica,Große Brennessel,X,X,X,,,,*,
Valeriana officinalis,Arzneibaldrian,,X,,,,,*,
Veronica arvensis,Feld-Ehrenpreis,,,,,X,,*,
Veronica chamaedrys,Gamander-Ehrenpreis,,,,,X,,*,6510
Veronica filiformis,Faden-Ehrenpreis,X,,,,,,*,
Veronica officinalis,Wald-Ehrenpreis,,,,,,X,*,
Veronica serpyllifolia,Quendel-Ehrenpreis,,,X,,,,*,
Veronica teucrium,Großer Ehrenpreis,,,,,,X,*,6212
Vicia angustifolia,Schmalblättrige Futterwicke ,,,,,X,,*,
Vicia cracca,Vogel-Wicke,,,,,X,,*,
Vicia hirsuta,Rauhaarige Wicke,,X,X,,,,*,
Vicia sepium,Zaun-Wicke,,,,,X,,*,
Vicia tetrasperma,Viersamige Wicke,,X,X,,,,*,
Viola canina agg.,Artengruppe Hunds-Veilchen,,,,,,X,-,
Viola riviniana,Hain-Veilchen,,,,,,X,*,
