Wissenschaftlicher Name,Deutscher Name,Bewertung,,,,,,RL BW
Orchis morio,Kleines Knabenkraut,,,,,,X,3
Orchis ustulata,Brand-Knabenkraut,,,,,,X,2
Ornithogalum umbellatum,Dolden-Milchstern,,,,,,X,*
Ornithopus perpusillus,Mäusewicke,,,,,,X,V
Orobanche minor,Kleine Sommerwurz,,,,,X,,V
Pastinaca sativa,Gewöhnliche Jungfernrebe,,,,,X,,*
Peucedanum officinale,Arznei-Haarstrang,,,,,,X,3
Phleum pratense,Gewöhnliches Wiesenlieschgras,X,,,X,,,*
Phyteuma nigrum,Schwarze Teufelskralle,,,,,,X,*
Phyteuma orbiculare,Schwarze Teufelskralle,,,,,,X,*
Phyteuma spicatum s.l.,Ährige Teufelskralle ,,,,,,X,*
Pimpinella major,Große Pimpernell,,,,,X,,*
Pimpinella saxifraga,Kleine Pimpernell,,,,,,X,*
Plantago lanceolata,Spitz-Wegerich,,,,,X,,*
Plantago major,Breit-Wegerich,,,X,,,,*
Plantago media,Mittlerer Wegerich,,,,,,X,*
Platanthera bifolia,Weiße Waldhyazinthe,,,,,,X,V
Platanthera chlorantha,Berg-Waldhyazinthe,,,,,,X,V
Poa angustifolia,Schmalblättriges Wiesenrispengras,,,,,X,,*
Poa annua,Einjähriges Rispengras,,,X,,,,*
Poa chaixii,Wald-Rispengras,,,,,X,,*
Poa pratensis,Echtes Wiesenrispengras,,,,,X,,*
Poa trivialis,Gewöhnliches Rispengras,X,,,,,,*
Polygala amarella,Sumpf-Kreuzblume,,,,,,X,V
Polygala comosa,Schopfige Kreuzblume,,,,,,X,*
Polygala vulgaris,Quendel-Kreuzblume,,,,,,X,3
Polygonum aviculare agg.,Gewöhnlicher Vogelknöterich,,,X,,,,*
Potentilla anserina,Gänse-Fingerkraut,,,X,,,,*
Potentilla argentea,Silberfingerkraut,,,,,,X,*
Potentilla erecta,Blutwurz,,,,,,X,*
Potentilla heptaphylla,Rötliches Fingerkraut,,,,,,X,V
Potentilla reptans,Kriechendes Fingerkraut,,X,X,,,,*
Potentilla sterilis,Erdbeer-Fingerkraut,,,,,,X,*
Potentilla verna,Niedriges Fingerkraut,,,,,,X,*
Primula elatior,Große Schlüsselblume,,,,,,X,*
Primula veris,Drüsige Schlüsselblume,,,,,,X,1
Prunella grandiflora,Große Brunelle,,,,,,X,V
Prunella laciniata,Weiße Brunelle,,,,,,X,3
Prunella vulgaris,Kleine Brunelle,,,,,X,,*
Ranunculus aconitifolius,Eisenhutblättriger Hahnenfuß,,,,,,X,*
Ranunculus acris,Eisenhutblättriger Hahnenfuß,,,,,X,,*
Ranunculus auricomus agg.,Aargauer Goldhahnenfuß,,,,,X,,d
Ranunculus bulbosus,Zweiförmiger Goldhahnenfuß,,,,,,X,*
Ranunculus poly. subsp. nemorosus,Nicklès' Goldhahnenfuß,,,,,,X,d
Ranunculus repens,Kriechender Hahnenfuß,X,,X,,,,*
Rhinanthus alectorolophus,Zottiger Klappertopf,,,,,,X,*
Rhinanthus minor,Kleiner Klappertopf,,,,,,X,*
Rhinanthus serotinus,Kleiner Klappertopf,,,,,,X,*
Rumex acetosa,Wiesen-Sauerampfer,,,,,X,,*
Rumex crispus,Krauser Ampfer,,,X,,,,*
Rumex obtusifolius,Strand-Ampfer,,,X,,,,3
Salvia pratensis,Wiesen-Salbei,,,,,,X,*
Sanguisorba minor,Kleiner Wiesenknopf,,,,,,X,*
Sanguisorba officinalis,Großer Wiesenknopf,,,,,,X,*
Saxifraga granulata,Knöllchen-Steinbrech,,,,,,X,V
Scabiosa columbaria ,Tauben-Skabiose,,,,,,X,*
Scorzoneroides autumnalis,Schlitzblättriges Stielsamenkraut,,,X,,,,1
Senecio erucifolius,Raukenblättriges Greiskraut,,X,X,,,,*
Senecio jacobaea,Jacobs-Greiskraut,,X,X,,,,*
Silaum silaus,Wiesensilge,,,,,,X,*
Silene dioica,Tag-Lichtnelke,,,,,X,,*
Silene nutans,Nickendes Leimkraut,,,,,,X,*
Silene vulgaris,Gewöhnlicher Taubenkropf,,,,,,X,*
Solidago canadensis,Alpen-Troddelblume,,X,,,,,3
Solidago gigantea,Kanadische Goldrute,,X,,,,,*
Solidago virgaurea,Gewöhnliche Goldrute,,,,,,X,*
Stellaria graminea,Gras-Sternmiere,,,,,X,,*
